
  0%|          | 0/50 [00:00<?, ?it/s]
Epoch 0 | train_loss: 2.0552:   0%|          | 0/50 [00:03<?, ?it/s]
Epoch 0 | train_loss: 2.0552:   2%|▏         | 1/50 [00:03<02:50,  3.48s/it]
Epoch 1 | train_loss: 0.9454:   2%|▏         | 1/50 [00:06<02:50,  3.48s/it]
Epoch 1 | train_loss: 0.9454:   4%|▍         | 2/50 [00:06<02:34,  3.22s/it]
Epoch 2 | train_loss: 0.8680:   4%|▍         | 2/50 [00:09<02:34,  3.22s/it]
Epoch 2 | train_loss: 0.8680:   6%|▌         | 3/50 [00:09<02:27,  3.13s/it]
Epoch 3 | train_loss: 0.7371:   6%|▌         | 3/50 [00:12<02:27,  3.13s/it]
Epoch 3 | train_loss: 0.7371:   8%|▊         | 4/50 [00:12<02:19,  3.03s/it]
Epoch 4 | train_loss: 0.6604:   8%|▊         | 4/50 [00:15<02:19,  3.03s/it]
Epoch 4 | train_loss: 0.6604:  10%|█         | 5/50 [00:15<02:16,  3.03s/it]
Epoch 5 | train_loss: 0.6148:  10%|█         | 5/50 [00:18<02:16,  3.03s/it]
Epoch 5 | train_loss: 0.6148:  12%|█▏        | 6/50 [00:18<02:10,  2.97s/it]
Epoch 6 | train_loss: 0.6112:  12%|█▏        | 6/50 [00:21<02:10,  2.97s/it]
Epoch 6 | train_loss: 0.6112:  14%|█▍        | 7/50 [00:21<02:06,  2.94s/it]
Epoch 7 | train_loss: 0.6730:  14%|█▍        | 7/50 [00:24<02:06,  2.94s/it]
Epoch 7 | train_loss: 0.6730:  16%|█▌        | 8/50 [00:24<02:03,  2.94s/it]
Epoch 8 | train_loss: 0.5969:  16%|█▌        | 8/50 [00:26<02:03,  2.94s/it]
Epoch 8 | train_loss: 0.5969:  18%|█▊        | 9/50 [00:26<01:58,  2.90s/it]
Epoch 9 | train_loss: 0.5797:  18%|█▊        | 9/50 [00:33<01:58,  2.90s/it]
Epoch 9 | train_loss: 0.5797:  20%|██        | 10/50 [00:33<02:35,  3.89s/it]
Epoch 10 | train_loss: 0.6772:  20%|██        | 10/50 [00:40<02:35,  3.89s/it]
Epoch 10 | train_loss: 0.6772:  22%|██▏       | 11/50 [00:40<03:10,  4.89s/it]
Epoch 11 | train_loss: 0.4890:  22%|██▏       | 11/50 [00:42<03:10,  4.89s/it]
Epoch 11 | train_loss: 0.4890:  24%|██▍       | 12/50 [00:42<02:41,  4.25s/it]
Epoch 12 | train_loss: 0.5352:  24%|██▍       | 12/50 [00:45<02:41,  4.25s/it]
Epoch 12 | train_loss: 0.5352:  26%|██▌       | 13/50 [00:45<02:22,  3.86s/it]
Epoch 13 | train_loss: 0.5230:  26%|██▌       | 13/50 [00:48<02:22,  3.86s/it]
Epoch 13 | train_loss: 0.5230:  28%|██▊       | 14/50 [00:48<02:08,  3.57s/it]
Epoch 14 | train_loss: 0.4418:  28%|██▊       | 14/50 [00:51<02:08,  3.57s/it]
Epoch 14 | train_loss: 0.4418:  30%|███       | 15/50 [00:51<01:56,  3.32s/it]
Epoch 15 | train_loss: 0.5423:  30%|███       | 15/50 [00:54<01:56,  3.32s/it]
Epoch 15 | train_loss: 0.5423:  32%|███▏      | 16/50 [00:54<01:47,  3.18s/it]
Epoch 16 | train_loss: 0.4926:  32%|███▏      | 16/50 [00:57<01:47,  3.18s/it]
Epoch 16 | train_loss: 0.4926:  34%|███▍      | 17/50 [00:57<01:41,  3.06s/it]
Epoch 17 | train_loss: 0.4870:  34%|███▍      | 17/50 [01:00<01:41,  3.06s/it]
Epoch 17 | train_loss: 0.4870:  36%|███▌      | 18/50 [01:00<01:35,  2.99s/it]
Epoch 18 | train_loss: 0.4126:  36%|███▌      | 18/50 [01:02<01:35,  2.99s/it]
Epoch 18 | train_loss: 0.4126:  38%|███▊      | 19/50 [01:02<01:31,  2.95s/it]
Epoch 19 | train_loss: 0.4117:  38%|███▊      | 19/50 [01:05<01:31,  2.95s/it]
Epoch 19 | train_loss: 0.4117:  40%|████      | 20/50 [01:05<01:26,  2.90s/it]
Epoch 20 | train_loss: 0.4401:  40%|████      | 20/50 [01:08<01:26,  2.90s/it]
Epoch 20 | train_loss: 0.4401:  42%|████▏     | 21/50 [01:08<01:22,  2.84s/it]
Epoch 21 | train_loss: 0.4084:  42%|████▏     | 21/50 [01:11<01:22,  2.84s/it]
Epoch 21 | train_loss: 0.4084:  44%|████▍     | 22/50 [01:11<01:19,  2.83s/it]
Epoch 22 | train_loss: 0.4547:  44%|████▍     | 22/50 [01:14<01:19,  2.83s/it]
Epoch 22 | train_loss: 0.4547:  46%|████▌     | 23/50 [01:14<01:16,  2.84s/it]
Epoch 23 | train_loss: 0.3617:  46%|████▌     | 23/50 [01:17<01:16,  2.84s/it]
Epoch 23 | train_loss: 0.3617:  48%|████▊     | 24/50 [01:17<01:14,  2.87s/it]
Epoch 24 | train_loss: 0.4507:  48%|████▊     | 24/50 [01:19<01:14,  2.87s/it]
Epoch 24 | train_loss: 0.4507:  50%|█████     | 25/50 [01:19<01:11,  2.88s/it]
Epoch 25 | train_loss: 0.3156:  50%|█████     | 25/50 [01:22<01:11,  2.88s/it]
Epoch 25 | train_loss: 0.3156:  52%|█████▏    | 26/50 [01:22<01:08,  2.87s/it]
Epoch 26 | train_loss: 0.4050:  52%|█████▏    | 26/50 [01:25<01:08,  2.87s/it]
Epoch 26 | train_loss: 0.4050:  54%|█████▍    | 27/50 [01:25<01:05,  2.84s/it]
Epoch 27 | train_loss: 0.3543:  54%|█████▍    | 27/50 [01:28<01:05,  2.84s/it]
Epoch 27 | train_loss: 0.3543:  56%|█████▌    | 28/50 [01:28<01:02,  2.83s/it]
Epoch 28 | train_loss: 0.4219:  56%|█████▌    | 28/50 [01:31<01:02,  2.83s/it]
Epoch 28 | train_loss: 0.4219:  58%|█████▊    | 29/50 [01:31<00:59,  2.83s/it]
Epoch 29 | train_loss: 0.3747:  58%|█████▊    | 29/50 [01:33<00:59,  2.83s/it]
Epoch 29 | train_loss: 0.3747:  60%|██████    | 30/50 [01:33<00:56,  2.81s/it]
